fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density,year
1001,23641,TOTAL,6093,17403,145,53155,25780,27375,1233,26635.0,683.0,24341.0,1611.0,53255.0,24568.0,5623.0,52100.0,1055.0,19718,1316.0,996.0,1724.0,15682.0,10588,22476,5764,2530,6031,24737,7662,2756,1740,1535,12736,8263,3738,3693,3182,787,42031,20585,21446,9508,4520,4988,1616,675,941,594.436,89.42089644637942,2008
1003,81413,TOTAL,19386,61271,756,175791,85902,89889,6848,84253.0,220.0,78520.0,5513.0,50147.0,26469.0,21216.0,169376.0,6415.0,69476,4146.0,3353.0,8252.0,53725.0,29656,84456,18237,9554,17881,83418,33518,7735,5480,4666,36166,29801,17451,12710,13935,6873,151453,73489,77964,16613,7997,8616,7725,4416,3309,1589.784,110.57539892211771,2008
1005,11630,TOTAL,5697,5866,67,27699,14652,13047,1273,10966.0,6.0,9909.0,1051.0,33219.0,15875.0,6203.0,26921.0,778.0,9795,1695.0,964.0,1370.0,5766.0,7085,9780,4022,1711,6148,12747,2574,2690,1916,1542,6586,4445,1716,902,1124,548,13759,7336,6423,12911,6719,6192,1029,597,432,884.876,31.302690998512787,2008
1007,8644,TOTAL,2299,6262,83,22610,12162,10448,134,10806.0,0.0,9819.0,987.0,41770.0,19918.0,2830.0,22457.0,153.0,7441,547.0,547.0,1127.0,5220.0,4809,8945,3315,1228,4433,11300,1579,1696,1644,1093,6083,3763,1454,809,505,265,19038,10269,8769,3450,1806,1644,122,87,35,622.582,36.31650128015266,2008
1009,24267,TOTAL,3522,20389,356,56692,28080,28612,4246,26744.0,27.0,24706.0,2011.0,45549.0,21070.0,7510.0,54017.0,2675.0,20605,1742.0,1240.0,2681.0,14942.0,8673,26399,6515,3487,10671,27155,4818,4397,3379,2895,13149,9531,4475,2025,2109,684,53938,26796,27142,716,342,374,2038,942,1096,644.776,87.92510887502017,2008
1011,5415,TOTAL,4011,1391,13,10923,5848,5075,180,4854.0,0.0,4310.0,544.0,31602.0,20289.0,2694.0,10799.0,124.0,3732,606.0,312.0,652.0,2162.0,3886,2832,1362,862,2383,5167,877,1099,688,596,2443,2116,608,330,423,124,2589,1486,1103,8110,4209,3901,224,153,71,622.805,17.53839484268752,2008
1013,9709,TOTAL,4188,5485,36,20895,9810,11085,58,8994.0,0.0,8138.0,856.0,30659.0,16916.0,5127.0,20671.0,224.0,8019,1239.0,781.0,1380.0,4619.0,4948,6894,2987,1901,4043,10188,1577,1493,1056,1494,4457,4085,1646,707,588,282,11493,5508,5985,8969,4027,4942,433,275,158,776.829,26.897811487470218,2008
1015,49242,TOTAL,16334,32348,560,117149,56312,60837,3555,54183.0,154.0,47720.0,6309.0,38407.0,20574.0,22203.0,114181.0,2968.0,46421,5872.0,3650.0,6323.0,30576.0,25085,46851,14954,7936,18958,58183,13033,7586,5397,5975,29085,20726,8372,5716,5167,2150,88451,42992,45459,23928,10943,12985,4770,2377,2393,605.868,193.35729894960616,2008
1017,14956,TOTAL,6799,8067,90,34579,16408,18171,524,15951.0,0.0,13679.0,2272.0,31467.0,16626.0,6988.0,34278.0,301.0,13681,1798.0,1434.0,2243.0,8206.0,7358,13585,4344,2662,7356,16465,2648,2186,2489,2681,7939,6057,2469,1126,1041,481,20425,9887,10538,13527,6208,7319,627,313,314,596.531,57.966811448189624,2008
1019,9745,TOTAL,2306,7298,141,25700,12804,12896,321,12072.0,28.0,10548.0,1496.0,40690.0,21322.0,4458.0,25573.0,127.0,11352,1116.0,1229.0,1709.0,7298.0,2941,14246,2370,1724,5641,12695,2027,2082,1666,1893,5196,5306,2193,603,1006,418,23842,11828,12014,1202,693,509,656,283,373,553.7,46.41502618746613,2008
