fips,totalvotes,mode,dem,repub,other,pop_tot,pop_male,pop_female,hispanic,labor_total,labor_armed,labor_employed,labor_unemployed,income_median,income_percapita,income_poverty,native_yes,native_no,houses_tot,income_10,income_10-15,income_15-25,income_25,marital_single,marital_married,marital_sepdiv,marital_widow,edu_low,edu_mid,edu_high,edu_low_age_18,edu_low_age_45,edu_low_age_65,edu_mid_age_18,edu_mid_age_45,edu_mid_age_65,edu_high_age_18,edu_high_age_45,edu_high_age_65,race_wht_total,race_wht_male,race_wht_female,race_blk_total,race_blk_male,race_blk_female,race_other_total,race_other_male,race_other_female,CENSUSAREA,pop_density
1001,23932,TOTAL,6363,17379,190,55136,26774,28362,1391,26951,556,24143,2252,52475,24644,7006,54364.0,772.0,20304,1233,1235,1842,15994,10667,23585,6709,2508,6002,26765,8155,2503,1968,1531,13201,8751,4813,3566,3612,977,43011,21153,21858,10257,4875,5382,1868,746,1122,604.385,91.22661879431158
1003,85338,TOTAL,18424,66016,898,191205,93229,97976,8630,91667,281,83530,7856,50183,26851,25988,184394.0,6811.0,73058,4912,3653,8864,55629,36354,85443,22439,11190,17674,90938,39407,8440,4589,4645,38116,33348,19474,14362,15382,9663,165673,80822,84851,17907,8517,9390,7625,3890,3735,2027.303,94.31495933267004
1005,11509,TOTAL,5912,5550,47,27119,14562,12557,1283,10764,0,9237,1527,35634,17350,5832,26350.0,769.0,9145,1145,995,1452,5553,7338,9195,3942,1752,5378,13246,2633,2392,1459,1527,6299,4919,2028,995,1013,625,12806,6882,5924,12565,6560,6005,1748,1120,628,904.512,29.981912898889128
1007,8420,TOTAL,2202,6132,86,22653,12220,10433,455,8934,5,7954,975,37984,18110,3596,22354.0,299.0,7078,533,448,1270,4827,5376,9019,2875,1507,4024,12087,1639,1754,1091,1179,5652,4608,1827,817,619,203,17379,8900,8479,4797,2960,1837,477,360,117,626.166,36.177307614913616
1009,24006,TOTAL,2970,20757,279,57645,28574,29071,4880,24754,31,22432,2291,44409,20501,9866,55263.0,2382.0,20934,1724,1210,2544,15456,9150,27137,6327,3631,9712,29152,4904,4036,2895,2781,13181,10642,5329,1792,2050,1062,54927,27033,27894,885,516,369,1833,1025,808,650.625,88.59942363112393
1011,5322,TOTAL,4061,1251,10,10693,5799,4894,431,4654,0,3845,809,34804,17706,2085,10190.0,503.0,3746,621,281,554,2290,3934,2321,1647,864,2736,4648,1026,1184,904,648,2421,1509,718,362,501,163,2803,1841,962,7640,3747,3893,250,211,39,625.14,17.104968487058898
1013,9496,TOTAL,4374,5087,35,20523,9590,10933,233,8845,22,7748,1075,31571,18115,5239,20362.0,161.0,8253,1088,848,1503,4814,5030,7063,2702,1673,3651,9994,2043,1374,952,1325,4250,3951,1793,824,745,474,11204,5355,5849,8975,3998,4977,344,237,107,777.878,26.383314607174903
1015,46257,TOTAL,15511,30278,468,117186,56478,60708,4017,53813,246,46310,7257,40919,21306,24794,114413.0,2773.0,45348,5215,3400,6107,30626,25784,45635,16340,7516,17602,59425,13822,7040,5319,5243,28709,20870,9846,5562,5529,2731,88125,42865,45260,24396,11334,13062,4665,2279,2386,612.284,191.39157645798355
1017,14611,TOTAL,6871,7626,114,34091,16271,17820,158,15134,8,13210,1916,32835,21240,8051,33745.0,346.0,13901,1783,1430,2155,8533,8217,12282,5015,2522,5762,17909,3022,1745,2040,1977,7969,6543,3397,1232,1123,667,19771,9566,10205,13722,6457,7265,598,248,350,603.111,56.52524991253683
1019,9779,TOTAL,2132,7506,141,26042,12960,13082,375,11554,0,10440,1114,34983,22234,5370,25741.0,301.0,11726,1261,1129,1925,7411,3101,13725,3211,1692,4266,13820,2661,1182,1457,1627,5544,5483,2793,896,1181,584,24207,12027,12180,1283,686,597,552,247,305,599.975,43.4051418809117
1021,17462,TOTAL,3397,13932,133,43781,21573,22208,3366,19594,15,17682,1897,41785,21718,8128,41432.0,2349.0,16281,1478,1114,2033,11656,8128,19348,4813,2517,7124,21828,4104,3016,2035,2073,10540,7607,3681,1674,1793,637,37018,18001,19017,4484,2083,2401,2279,1489,790,700.799,62.47297727308401
1023,7968,TOTAL,3786,4152,30,13546,6469,7077,56,5421,0,4694,727,34325,21268,2867,13516.0,30.0,5526,802,485,880,3359,3100,5232,1674,1181,2706,6684,1245,811,809,1086,2695,2635,1354,463,565,217,7558,3698,3860,5896,2729,3167,92,42,50,920.855,14.710242111950306
1025,13851,TOTAL,6334,7470,47,25331,11958,13373,110,10351,0,8288,2063,30951,20022,6757,25191.0,140.0,9791,1867,760,1529,5635,6446,9055,3278,1785,3954,13341,2080,1366,1286,1302,6096,4744,2501,542,1023,515,13613,6583,7030,11401,5153,6248,317,222,95,1252.569,20.2232372029006
1027,6662,TOTAL,1777,4817,68,13617,6681,6936,424,5729,3,5102,624,35286,18957,2481,13329.0,288.0,5572,654,499,908,3511,2371,6005,1735,1065,2565,7130,901,767,1046,752,3051,2573,1506,241,431,229,11150,5450,5700,1986,959,1027,481,272,209,605.999,22.470334109462225
1029,6305,TOTAL,971,5272,62,14990,7374,7616,331,6399,0,5849,550,37008,19736,2691,14843.0,147.0,5639,550,584,731,3774,2524,6484,1905,1062,2763,7503,1147,804,931,1028,3352,2725,1426,506,492,149,14095,6991,7104,430,161,269,465,222,243,561.011,26.719618688403617
1031,19770,TOTAL,4925,14666,179,50726,25135,25591,3236,23203,1513,20114,1576,45558,24204,9403,48422.0,2304.0,19086,1607,1544,2354,13581,11018,20461,6220,3029,6627,23669,8306,2698,1777,2152,11087,8397,4185,4013,2977,1316,39064,19648,19416,8671,4184,4487,2991,1303,1688,680.492,74.54312468037831
1033,23385,TOTAL,9166,13936,283,54491,26358,28133,1276,23665,38,21271,2356,39914,21763,9860,53494.0,997.0,22442,2470,1268,3395,15309,10731,23368,7217,3458,7200,28594,6790,2699,1925,2576,12097,10809,5688,2711,2642,1437,43356,20932,22424,8712,4110,4602,2423,1316,1107,623.517,87.39296602979549
1035,7022,TOTAL,3555,3439,28,12985,6178,6807,206,4893,0,3587,1306,24433,15441,4256,12867.0,118.0,5030,909,710,940,2471,3364,4750,1352,1133,2452,6862,773,770,948,734,2798,2519,1545,274,313,186,6778,3396,3382,5821,2672,3149,386,110,276,852.718,15.22777753020342
1037,5269,TOTAL,2191,3049,29,11247,5754,5493,238,4863,0,3893,970,32340,17749,2190,11060.0,187.0,4446,583,426,764,2673,2503,4350,1775,905,2151,6212,745,869,681,601,2384,2690,1138,274,254,217,7549,3873,3676,3524,1775,1749,174,106,68,666.347,16.878593285480388
1039,15423,TOTAL,3158,12153,112,37881,18323,19558,564,16464,13,14718,1733,36256,20941,7479,37447.0,434.0,14979,1682,1128,2341,9828,6812,16178,4934,3053,6011,19488,3984,2003,1851,2157,8167,7195,4126,1477,1484,1023,32025,15562,16463,4868,2304,2564,988,457,531,1043.782,36.29206098591469
1041,6418,TOTAL,2050,4331,37,13938,6808,7130,229,6308,45,5590,673,37349,20366,2358,13621.0,317.0,5424,549,588,763,3524,3076,5479,1754,945,2519,6911,1266,833,775,911,3057,2654,1200,573,492,201,10007,4919,5088,3269,1526,1743,662,363,299,610.913,22.8150325823808
1043,34457,TOTAL,5052,28999,406,80668,40068,40600,3481,35718,43,32471,3204,39415,21105,14354,78378.0,2290.0,31160,3302,2187,4566,21105,13319,37364,9585,5224,11707,42050,8562,4148,3531,4028,19074,15172,7804,3217,3566,1779,77079,38124,38955,1096,685,411,2493,1259,1234,755.017,106.84262738454895
1045,18557,TOTAL,5286,13108,163,50013,24730,25283,2929,23941,2406,19212,2323,44473,22368,9114,48472.0,1541.0,19470,2041,1538,2202,13689,10165,20395,6635,2802,5928,26078,5943,2273,1920,1735,12972,8757,4349,2881,2008,1054,37509,19034,18475,9712,4468,5244,2792,1228,1564,562.698,88.88071398867599
1047,20953,TOTAL,14612,6288,53,42743,19775,22968,160,17056,19,13978,3059,26494,17614,15163,42491.0,252.0,16259,3333,1514,2979,8433,13881,10751,5725,3261,7067,20564,4086,2733,2423,1911,9708,7656,3200,1245,1633,1208,12318,5908,6410,29758,13679,16079,667,188,479,993.8,43.00965989132622
1049,23863,TOTAL,5239,18331,293,71074,35262,35812,9922,30392,1,27498,2893,37977,18416,14128,65686.0,5388.0,24743,2450,2072,3592,16629,13047,30984,7906,4366,14147,33560,5512,5951,4325,3871,15994,12066,5500,2135,2334,1043,62960,30902,32058,1279,657,622,6835,3703,3132,778.682,91.27474373364223
1051,35485,TOTAL,8954,26253,278,80321,39310,41011,2180,37823,475,34119,3229,54159,24185,9700,78808.0,1513.0,28617,1750,1342,2772,22753,17507,33580,9384,4489,8731,40989,12061,4449,2307,1975,19931,14666,6392,5549,4590,1922,60602,29460,31142,16631,8345,8286,3088,1505,1583,657.039,122.24692902552208
1053,14869,TOTAL,5489,9287,93,38042,19634,18408,768,14826,168,12287,2371,31422,16673,9309,37750.0,292.0,13737,2014,1458,2395,7870,9959,13244,5278,2459,6787,19409,3348,3215,2057,1515,8729,6981,3699,1351,1196,801,23633,11907,11726,12361,6663,5698,2048,1064,984,953.135,39.912499278696096
1055,42530,TOTAL,12803,29130,597,104126,50316,53810,3669,45133,146,40153,4834,38467,20445,20059,101650.0,2476.0,40001,3769,3361,6712,26159,21644,42582,13461,7315,14750,54552,11395,6294,4242,4214,24115,19804,10633,4481,4596,2318,84904,41294,43610,16000,7397,8603,3222,1625,1597,548.626,189.79414027042102
1057,7946,TOTAL,1817,6054,75,17019,8457,8562,128,6830,0,6056,774,33144,19040,3492,16922.0,97.0,6967,1018,623,1153,4173,3271,7087,2215,1371,3042,8549,1707,954,978,1110,3624,3116,1809,576,898,233,14663,7261,7402,2088,1106,982,268,90,178,629.353,27.042057478076693
1059,10859,TOTAL,3171,7567,121,31663,15544,16119,4882,13752,0,12450,1302,35450,18559,7601,28550.0,3113.0,12247,1358,943,2123,7823,6122,12641,3933,2371,6162,15427,2373,2805,1560,1797,7161,5611,2655,926,924,523,28420,13920,14500,1545,786,759,1698,838,860,646.52,48.97450968260843
1061,11320,TOTAL,2039,9175,106,26816,13125,13691,947,12110,99,10730,1281,36268,20027,5983,26275.0,541.0,10898,1003,1059,1854,6982,4844,11628,3495,1910,4667,14050,2147,1719,1318,1630,5848,5339,2863,940,804,403,23215,11391,11824,2605,1314,1291,996,420,576,578.948,46.318494925278266
1063,5340,TOTAL,4521,804,15,8798,4118,4680,39,3315,0,2456,859,22170,13956,3204,8783.0,15.0,3282,620,541,624,1497,2691,2356,1291,815,1624,4420,686,533,476,615,1944,1871,605,105,314,267,1559,755,804,7107,3311,3796,132,52,80,659.937,13.331575589791147
1065,8643,TOTAL,5411,3210,22,15393,7260,8133,164,6028,9,5210,809,30839,18774,4213,15286.0,107.0,5931,975,635,900,3421,4324,5101,1725,1283,2430,7814,1472,754,819,857,3384,3151,1279,589,494,389,6133,3003,3130,8995,4153,4842,265,104,161,656.498,23.44713921443782
1067,8760,TOTAL,3083,5628,49,17270,8226,9044,418,7465,0,6635,830,42926,22682,2526,16844.0,426.0,6900,660,649,877,4714,3264,7677,2160,1128,2731,8614,2172,698,1097,936,3447,3170,1997,1054,739,379,12050,5932,6118,4777,2025,2752,443,269,174,568.306,30.38855827670304
1069,41918,TOTAL,12367,29270,281,103079,49416,53663,3251,48551,214,44436,3901,41077,23492,18730,100620.0,2459.0,39464,3694,2958,5294,27518,23007,39219,14136,6063,12580,51200,14443,5171,3676,3733,23404,18099,9697,6438,5699,2306,72001,34984,37017,26960,12326,14634,4118,2106,2012,581.652,177.21764904100732
