feature,importance
edumid_age45%,138922381.6173521
blk_f%,138891565.6234894
blk_m%,138891564.89350253
eduhigh_age45%,123942007.8200711
edu_mid%,-93364140.47820131
edulow_age45%,93052613.11809681
edumid_age18%,92839981.91441722
wht%,90332386.57665116
edu_high%,-78383766.70180717
eduhigh_age18%,77859607.35232872
edumid_age65%,75037610.31722182
eduhigh_age65%,60057236.24356224
other_m%,59194914.579927914
other_f%,59194911.42100587
other%,52314499.97984421
edu_low%,-47494369.51387502
edulow_age18%,46970212.7221642
age_45%,-45558246.227477625
unempl%,-39920996.67730376
armed%,-39920996.0292292
labor%,39920994.79834795
empl%,-39920994.340684794
edulow_age65%,29167836.05967948
blk%,-27382152.250058375
wht_m%,21177026.82897895
wht_f%,21177026.57870675
age_65%,18326527.795433413
age_18%,524157.7018455713
widow%,6.760265562314127
married%,5.574148118498401
income_25%,-3.764984021205981
sepdiv%,3.707555290083574
income_15-25%,-1.6540438320073614
native%,0.9263339587631128
income_10%,-0.8699050221602854
income_10-15%,-0.5936620713541818
poverty%,-0.4495893742579244
hispanic%,-0.32894992884165103
single%,0.2742247726169419
marital_ratio,0.04014507222437578
houses_density,1.741917678669598e-05
area_sqmiles,1.736919030577315e-05
income_percapita,1.586497092670863e-05
income_median,-5.211930374554925e-06
pop_density,-4.559694516491269e-06
pop_tot,-1.1032533510951629e-08
