feature,importance
wht%,133012590.335971
other_m%,124326979.49674928
other_f%,124326976.96168303
blk_f%,99602968.38525769
blk_m%,99602968.10713457
edumid_age65%,84459637.93218105
edumid_age45%,84448617.62478624
edumid_age18%,55402294.02406729
empl%,51656409.48435673
labor%,-51656409.478461415
armed%,51656408.04488661
unempl%,51656404.82876564
edu_mid%,-45026455.82783981
age_65%,-39433180.84601694
age_45%,-39422164.78759719
blk%,33470306.19237433
eduhigh_age65%,33225718.99020076
eduhigh_age45%,33214699.299464323
edu_low%,21931660.017696686
edulow_age65%,17501517.276554648
edulow_age45%,17490505.127975788
edulow_age18%,-11555821.702874882
age_18%,-10375837.492123809
other%,8746296.123117574
edu_high%,6207461.038187968
eduhigh_age18%,4168376.367501241
wht_m%,60684.73332056913
wht_f%,60684.03121793662
income_10-15%,-3.5193857279984493
widow%,3.0401121368183643
income_10%,-2.9135588951363984
income_25%,-2.4785686216321663
income_15-25%,-2.4275203131864567
married%,2.07041137771692
sepdiv%,1.9411582124482678
single%,-1.2833813132675072
poverty%,1.0081916388242964
native%,0.9366644663378044
hispanic%,-0.2655109926917563
marital_ratio,-0.12334160484457453
houses_density,-2.39338699434444e-05
income_percapita,1.6389685244312226e-05
area_sqmiles,1.3550777787805203e-05
pop_density,1.0821642073568328e-05
income_median,-2.5586797210900855e-06
pop_tot,-3.060559480188506e-08
