feature,importance
edumid_age45%,102438536.36534813
blk%,93253650.73902476
labor%,-92485976.51664138
empl%,92485976.46713969
armed%,92485975.08236073
unempl%,92485970.27063257
other%,89136082.84116812
wht_m%,76972275.25370644
wht_f%,76972274.48227249
wht%,66466705.2628957
other_m%,54302897.779911056
other_f%,54302896.172181025
edulow_age45%,52485613.71336843
age_45%,-51492426.148994125
edu_mid%,-50946113.506018355
blk_f%,50185329.31869258
blk_m%,50185328.93898078
eduhigh_age65%,-43573208.700675234
edumid_age18%,43206013.28982255
eduhigh_age45%,35293788.172623605
age_65%,27374573.95995898
edulow_age65%,-26381390.352015898
eduhigh_age18%,-23938734.28896982
edumid_age65%,23571540.743293773
edu_high%,16198633.143237635
age_18%,7740100.55787779
edulow_age18%,-6746912.943769776
edu_low%,-993187.3839804652
income_10-15%,-4.305325609335397
widow%,3.080639624137388
income_10%,-2.9722613074843256
sepdiv%,2.4828644981569354
income_15-25%,-2.390581570625409
married%,2.1694439481316388
income_25%,-2.094604091778421
poverty%,1.1819202512250484
native%,0.9498142325326125
single%,-0.7982442552044641
hispanic%,-0.2558697179431081
marital_ratio,-0.1621818613067985
houses_density,-1.6645642231352772e-05
income_percapita,1.4960577712617113e-05
area_sqmiles,1.200823675529937e-05
pop_density,8.735271984707871e-06
income_median,-2.3019524558776013e-06
pop_tot,-3.6592758323131645e-08
